name,url
01VENTURES,https://www.myfrenchstartup.com/fr/startups-investisseur/140787/01ventures
123 VENTURE,https://www.myfrenchstartup.com/fr/startups-investisseur/90165/123-venture
1M86,https://www.myfrenchstartup.com/fr/startups-investisseur/135485/1m86
20 MINUTES,https://www.myfrenchstartup.com/fr/startups-investisseur/105708/20-minutes
2C INVEST,https://www.myfrenchstartup.com/fr/startups-investisseur/131294/2c-invest
33ENTREPRENEURS,https://www.myfrenchstartup.com/fr/startups-investisseur/136805/33entrepreneurs
360 CAPITAL PARTNERS,https://www.myfrenchstartup.com/fr/startups-investisseur/116873/360-capital-partners
3I,https://www.myfrenchstartup.com/fr/startups-investisseur/105950/3i
3T CAPITAL,https://www.myfrenchstartup.com/fr/startups-investisseur/137784/3t-capital
50 PARTNERS,https://www.myfrenchstartup.com/fr/startups-investisseur/105213/50-partners
500 STARTUPS,https://www.myfrenchstartup.com/fr/startups-investisseur/128214/500-startups
5COM,https://www.myfrenchstartup.com/fr/startups-investisseur/124287/5com
5M VENTURES,https://www.myfrenchstartup.com/fr/startups-investisseur/91254/5m-ventures
A CAPITAL,https://www.myfrenchstartup.com/fr/startups-investisseur/123880/a-capital
A PLUS FINANCE,https://www.myfrenchstartup.com/fr/startups-investisseur/92596/a-plus-finance
A-GRADE INVESTMENTS,https://www.myfrenchstartup.com/fr/startups-investisseur/126828/agrade-investments
ABAB,https://www.myfrenchstartup.com/fr/startups-investisseur/94180/abab
ABC SYSTEMES,https://www.myfrenchstartup.com/fr/startups-investisseur/100736/abc-systemes
ABCYNE PARTICIPATIONS,https://www.myfrenchstartup.com/fr/startups-investisseur/106566/abcyne-participations
ABENSUR LARRY,https://www.myfrenchstartup.com/fr/startups-investisseur/100428/abensur-larry
ABINGWORTH LLP,https://www.myfrenchstartup.com/fr/startups-investisseur/117159/abingworth-llp
ACCEL PARTNERS,https://www.myfrenchstartup.com/fr/startups-investisseur/94433/accel-partners
