name,url
CROWDMAP,https://www.myfrenchstartup.com/fr/startup-france/241910/crowdmap
DAILYLIVE,https://www.myfrenchstartup.com/fr/startup-france/241888/dailylive
PARENTHESE CAFE,https://www.myfrenchstartup.com/fr/startup-france/241877/parenthese_cafe
IMMERSIVE WAYS,https://www.myfrenchstartup.com/fr/startup-france/241855/immersive_ways
T LIPPS,https://www.myfrenchstartup.com/fr/startup-france/241844/t_lipps
NEOFARM,https://www.myfrenchstartup.com/fr/startup-france/241822/neofarm
RISING UP,https://www.myfrenchstartup.com/fr/startup-france/241811/rising_up
MA BONNE FEE,https://www.myfrenchstartup.com/fr/startup-france/241800/ma_bonne_fee
MES ALLOCS,https://www.myfrenchstartup.com/fr/startup-france/241789/mes_allocs
LIBEO,https://www.myfrenchstartup.com/fr/startup-france/241778/libeo
LIBEO,https://www.myfrenchstartup.com/fr/startup-france/241778/libeo
JOLLYMAMA,https://www.myfrenchstartup.com/fr/startup-france/241767/jollymama
PLAYZZ,https://www.myfrenchstartup.com/fr/startup-france/241756/playzz
CAMPUS SKILLS,https://www.myfrenchstartup.com/fr/startup-france/241745/campus_skills
26 ACADEMY,https://www.myfrenchstartup.com/fr/startup-france/241734/26_academy
TUTTISTORI,https://www.myfrenchstartup.com/fr/startup-france/241723/tuttistori
VR SQUAD,https://www.myfrenchstartup.com/fr/startup-france/241712/vr_squad
POPFRAME,https://www.myfrenchstartup.com/fr/startup-france/241701/popframe
COOPEO,https://www.myfrenchstartup.com/fr/startup-france/241690/coopeo
ELECTROGUIDE,https://www.myfrenchstartup.com/fr/startup-france/241679/electroguide
SOLIKEND,https://www.myfrenchstartup.com/fr/startup-france/241668/solikend
SIGNITIC,https://www.myfrenchstartup.com/fr/startup-france/241657/signitic
ALTETUDE,https://www.myfrenchstartup.com/fr/startup-france/241646/altetude
OPROTECT,https://www.myfrenchstartup.com/fr/startup-france/241635/oprotect
PLATEO,https://www.myfrenchstartup.com/fr/startup-france/241624/plateo
BLABOOK,https://www.myfrenchstartup.com/fr/startup-france/241613/blabook
WILOKI,https://www.myfrenchstartup.com/fr/startup-france/241602/wiloki
TOUS LA,https://www.myfrenchstartup.com/fr/startup-france/241591/tous_la
IOTEROP,https://www.myfrenchstartup.com/fr/startup-france/241580/ioterop
DEALBURN,https://www.myfrenchstartup.com/fr/startup-france/241569/dealburn
ETHI KDO,https://www.myfrenchstartup.com/fr/startup-france/241558/ethi_kdo
EFFIDIC,https://www.myfrenchstartup.com/fr/startup-france/241525/effidic
FIDUCE,https://www.myfrenchstartup.com/fr/startup-france/241514/fiduce
PICKYOURSKILLS,https://www.myfrenchstartup.com/fr/startup-france/241492/pickyourskills
FACILIB,https://www.myfrenchstartup.com/fr/startup-france/241481/facilib
CULTUREPAY,https://www.myfrenchstartup.com/fr/startup-france/241470/culturepay
BIBOU,https://www.myfrenchstartup.com/fr/startup-france/241459/bibou
BOOKINOU,https://www.myfrenchstartup.com/fr/startup-france/241448/bookinou
LES SHERPAS,https://www.myfrenchstartup.com/fr/startup-france/241437/les_sherpas
NUMIX,https://www.myfrenchstartup.com/fr/startup-france/241426/numix
N'OUBLIE JAMAIS,https://www.myfrenchstartup.com/fr/startup-france/241415/noublie_jamais
OPTI DIGITAL,https://www.myfrenchstartup.com/fr/startup-france/241404/opti_digital
COPRO CONNECT,https://www.myfrenchstartup.com/fr/startup-france/241393/copro_connect
FLEXILIVRE,https://www.myfrenchstartup.com/fr/startup-france/241382/flexilivre
CLIPCANN,https://www.myfrenchstartup.com/fr/startup-france/241371/clipcann
